,Unnamed: 0,type,elevation_ft,continent,Longitude
9619,10501,small_airport,3.0,OC,162.454108
9620,10502,small_airport,1349.81139720298,OC,160.824996948
9621,10503,small_airport,1349.81139720298,OC,158.7310028076172
9622,10504,small_airport,60.0,OC,159.21841
9623,10505,small_airport,303.0,SA,-73.584722
9624,10506,small_airport,5350.0,OC,143.853611111
9625,10507,small_airport,30.0,OC,157.585
9626,10508,small_airport,32.0,OC,156.94783
9627,10509,small_airport,52.0,OC,160.775127
9628,10510,small_airport,53.0,OC,149.155555556
9629,10511,small_airport,60.0,OC,162.2049
9630,10512,small_airport,1349.81139720298,OC,157.14300537109375
9631,10513,small_airport,1349.81139720298,OC,157.64300537109375
9632,10514,heliport,3.0,OC,160.149166667
9633,10515,small_airport,407.0,OC,128.9245
9634,10518,small_airport,340.0,AF,45.535
9635,10519,small_airport,350.0,OC,144.7307003
9636,10520,small_airport,90.0,OC,141.2675
9637,10521,small_airport,16.0,OC,168.8257
9638,10522,small_airport,1052.0,NA,-142.88999938964844
9639,10523,small_airport,120.0,NA,-151.86300659179688
9640,10524,small_airport,320.0,NA,-150.625133
9641,10525,small_airport,575.0,NA,-161.06199645996094
9642,10526,small_airport,3289.0,NA,-147.169006
9643,10527,small_airport,365.0,NA,-150.599217
9644,10528,small_airport,2050.0,NA,-148.79800415039062
9645,10529,small_airport,10.0,NA,-151.8769989013672
9646,10530,small_airport,190.0,NA,-150.1060028076172
9647,10531,small_airport,1100.0,NA,-145.5019989013672
9648,10532,small_airport,64.0,NA,-149.01800537109375
9649,10533,small_airport,210.0,NA,-150.108992
9650,10534,small_airport,15.0,NA,-148.6820068359375
9651,10535,small_airport,47.0,NA,-149.86399841308594
9652,10536,small_airport,1195.0,NA,-146.04699707
9653,10537,small_airport,100.0,NA,-150.089004517
9654,10538,small_airport,303.0,NA,-149.7149963
9655,10539,small_airport,1600.0,NA,-151.22300720214844
9656,10540,small_airport,8.0,NA,-153.08099365234375
9657,10541,small_airport,300.0,NA,-150.06399536132812
9658,10542,small_airport,7.0,NA,-150.886667
9659,10543,small_airport,40.0,NA,-157.77699279785156
9660,10544,small_airport,475.0,NA,-147.52200317382812
9661,10545,small_airport,420.0,NA,-149.4389954
9662,10546,small_airport,350.0,NA,-149.61500549316406
9663,10547,small_airport,25.0,NA,-164.4457
9664,10548,small_airport,400.0,NA,-149.62399291992188
9665,10549,small_airport,427.0,NA,-147.91900634765625
9666,10550,small_airport,246.0,NA,-149.8520050048828
9667,10551,small_airport,50.0,NA,-146.097464
9668,10552,small_airport,1225.0,NA,-143.00100708007812
9669,10553,heliport,27.0,NA,-150.253467
9670,10554,small_airport,20.0,NA,-160.899002075
9671,10555,seaplane_base,186.0,NA,-150.080001831
9672,10556,heliport,1180.0,NA,-145.738998413
9673,10557,small_airport,300.0,NA,-150.1219940185547
9674,10558,heliport,72.0,NA,-150.035995483
9675,10559,heliport,140.0,NA,-149.821855
9676,10560,small_airport,381.0,NA,-150.17999267578125
9677,10561,small_airport,1510.0,NA,-154.759994507
9678,10562,small_airport,925.0,NA,-146.843994140625
9679,10564,seaplane_base,350.0,NA,-149.539001465
9680,10565,small_airport,346.0,NA,-150.11599731445312
9681,10567,small_airport,750.0,NA,-149.04299926757812
9682,10568,small_airport,300.0,NA,-149.56300354003906
9683,10570,small_airport,440.0,NA,-164.798995972
9684,10571,seaplane_base,230.0,NA,-151.30299377441406
9685,10572,small_airport,120.0,NA,-149.1439971923828
9686,10573,small_airport,288.0,NA,-154.322789
9687,10574,small_airport,582.0,NA,-147.53599548339844
9688,10575,small_airport,222.0,NA,-148.996994
9689,10576,small_airport,340.0,NA,-149.3260040283203
9690,10577,small_airport,290.0,NA,-150.802001953125
9691,10578,seaplane_base,304.0,NA,-158.477005005
9692,10579,seaplane_base,180.0,NA,-150.091003418
9693,10580,small_airport,73.0,NA,-149.5489959716797
9694,10581,small_airport,1350.0,NA,-148.35499572753906
9695,10582,small_airport,240.0,NA,-157.0970001220703
9696,10583,small_airport,1900.0,NA,-148.90699768066406
9697,10584,seaplane_base,0.0,NA,-133.227994
9698,10585,small_airport,246.0,NA,-149.14300537109375
9699,10586,small_airport,1000.0,NA,-157.391998
9700,10587,small_airport,300.0,NA,-149.3509979248047
9701,10588,small_airport,100.0,NA,-148.8040008544922
9702,10589,small_airport,64.0,NA,-150.072998046875
9703,10590,small_airport,290.0,NA,-150.0540008544922
9704,10591,small_airport,200.0,NA,-150.09800720214844
9705,10592,small_airport,17.0,NA,-153.2420044
9706,10593,small_airport,113.0,NA,-150.6009979248047
9707,10594,small_airport,150.0,NA,-151.302001953
9708,10595,heliport,41.0,NA,-152.35400390625
9709,10596,small_airport,15.0,NA,-161.925994873
9710,10597,small_airport,20.0,NA,-138.40699768066406
9711,10598,small_airport,1275.0,NA,-145.4219970703125
9712,10599,small_airport,100.0,NA,-149.5665
9713,10600,seaplane_base,400.0,NA,-150.06935
9714,10601,small_airport,520.0,NA,-151.176
9715,10602,seaplane_base,712.1670117322291,NA,-153.815002441
9716,10603,heliport,235.0,NA,-149.792007446
9717,10604,small_airport,380.0,NA,-149.60899353027344
9718,10605,small_airport,259.0,NA,-150.83099365234375
9719,10606,small_airport,110.0,NA,-149.763986
9720,10607,small_airport,150.0,NA,-149.91135
9721,10608,heliport,150.0,NA,-149.929000854
9722,10609,small_airport,416.0,NA,-149.0399932861328
9723,10610,small_airport,350.0,NA,-149.83700561523438
9724,10611,small_airport,185.0,NA,-150.11500549316406
9725,10612,heliport,228.0,NA,-149.74899292
9726,10613,small_airport,820.0,NA,-149.029007
9727,10614,small_airport,535.0,NA,-149.2729949951172
9728,10615,heliport,150.0,NA,-134.776992798
9729,10616,small_airport,185.0,NA,-149.7790069580078
9730,10617,small_airport,50.0,NA,-157.352005005
9731,10618,small_airport,230.0,NA,-146.145996094
9732,10619,small_airport,560.0,NA,-167.48599243164062
9733,10620,small_airport,85.0,NA,-149.761111
9734,10621,small_airport,1370.0,AF,19.8172222222
9735,10629,small_airport,369.0,NA,-87.723889
9736,10631,small_airport,331.0,NA,-85.46800231933594
9737,10632,heliport,470.0,NA,-87.25669860839844
9738,10633,heliport,640.0,NA,-85.168711
9739,10634,small_airport,75.0,NA,-87.5353012084961
9740,10635,small_airport,1692.0,NA,-85.59020233154297
9741,10636,small_airport,650.0,NA,-86.41690063476562
9742,10637,heliport,252.0,NA,-86.27660369873047
9743,10638,small_airport,225.0,NA,-86.125
9744,10639,heliport,95.0,NA,-85.028819
9745,10640,heliport,156.0,NA,-87.836396
9746,10641,small_airport,120.0,NA,-87.72419738769531
9747,10642,small_airport,640.0,NA,-86.72360229492188
9748,10643,small_airport,450.0,NA,-86.51300048830001
9749,10644,small_airport,590.0,NA,-86.86750030517578
9750,10645,heliport,670.0,NA,-86.991
9751,10646,heliport,314.0,NA,-85.36720275878906
9752,10647,heliport,645.0,NA,-86.67749786376953
9753,10649,heliport,645.0,NA,-86.75080108642578
9754,10650,heliport,630.0,NA,-86.8703
9755,10651,small_airport,368.0,NA,-85.6010971069336
9756,10652,heliport,283.0,NA,-87.52780151367188
9757,10653,small_airport,610.0,NA,-85.56580352783203
