,type,elevation_ft,continent,Longitude,Latitude
0,heliport,11.0,NA,-74.93360137939453,40.07080078125
1,small_airport,3435.0,NA,-101.473911,38.704022
2,small_airport,450.0,NA,-151.695999146,59.94919968
3,small_airport,820.0,NA,-86.77030181884766,34.86479949951172
5,small_airport,1100.0,NA,-97.8180194,34.9428028
6,small_airport,3810.0,NA,-112.16500091552734,34.305599212646484
7,small_airport,3038.0,NA,-116.888000488,35.350498199499995
8,small_airport,87.0,NA,-121.763427,39.427188
9,heliport,3350.0,NA,-116.4597417,32.7273736
11,small_airport,53.0,NA,-82.21900177001953,28.64550018310547
12,heliport,25.0,NA,-82.34539794921875,28.846599578857422
13,small_airport,35.0,NA,-80.96920013427734,27.230899810791016
14,small_airport,700.0,NA,-84.06829833984375,33.76750183105469
15,heliport,957.0,NA,-84.73390197753906,33.88420104980469
16,heliport,43.0,NA,-155.980233,19.832715
17,small_airport,2064.0,NA,-116.21399688720703,48.145301818847656
18,small_airport,3359.0,NA,-101.395994,39.724028
19,heliport,600.0,NA,-87.122802734375,41.644500732421875
20,small_airport,840.0,NA,-89.5604019165039,41.97840118408203
21,heliport,634.0,NA,-87.2605972290039,41.51139831542969
22,small_airport,820.0,NA,-89.1229019165039,40.02560043334961
23,small_airport,1100.0,NA,-94.93049621582031,38.72779846191406
24,small_airport,1265.0,NA,-84.61969757080078,37.409400939941406
25,heliport,15.0,NA,-90.980833,30.191944
26,heliport,600.0,NA,-89.70559692382812,39.66529846191406
27,small_airport,12.0,NA,-92.42939758300781,30.13629913330078
28,small_airport,45.0,NA,-75.75379943847656,38.75709915161133
29,heliport,588.0,NA,-86.41670227050781,43.94940185546875
30,small_airport,1365.0,NA,-95.70030212402344,46.29999923706055
31,small_airport,970.0,NA,-94.412399291992,37.202800750732
33,small_airport,105.0,NA,-75.1852035522461,39.473201751708984
34,small_airport,348.0,NA,-78.37139892578125,36.085201263427734
35,heliport,78.0,NA,-74.47460174560547,40.52090072631836
36,seaplane_base,96.0,NA,-73.3698057,44.8118612
37,small_airport,1000.0,NA,-77.49970245361328,42.90010070800781
39,heliport,905.0,NA,-84.1874008178711,39.74530029296875
40,small_airport,960.0,NA,-96.217693,36.198598
41,heliport,195.0,NA,-123.12999725341797,44.932899475097656
42,heliport,402.0,NA,-75.74690246582031,39.94889831542969
43,small_airport,1301.0,NA,-80.211111,41.2995
45,small_airport,1620.0,NA,-122.088996887,44.183200836199994
46,small_airport,150.0,NA,-80.26719665527344,34.0093994140625
47,small_airport,1590.0,NA,-96.498897,44.809158
49,heliport,600.0,NA,-97.18949890136719,32.847599029541016
50,small_airport,1100.0,NA,-85.95359802246094,35.515899658203125
51,small_airport,670.0,NA,-97.24199676513672,32.607601165771484
54,small_airport,551.0,NA,-78.9991684,36.57600021
55,small_airport,2680.0,NA,-80.49949645996094,36.663299560546875
56,small_airport,719.0,NA,-117.44300079346,46.673500061035
57,small_airport,150.0,NA,-122.77200317382812,47.17839813232422
58,small_airport,860.0,NA,-89.05010223388672,44.304298400878906
59,small_airport,2900.0,NA,-117.2490005493164,46.25
60,small_airport,2060.0,NA,-79.86609649658203,38.82889938354492
61,heliport,5210.0,NA,-106.224443,42.840361
62,small_airport,3110.0,NA,-101.93399810791016,33.03340148925781
63,small_airport,1950.0,NA,-152.27000427246094,62.943599700927734
64,heliport,120.0,NA,-149.446249008,60.105873975399994
65,small_airport,344.0,NA,-86.51390075683594,32.94599914550781
66,heliport,400.0,NA,-94.35489654541016,34.047298431396484
67,heliport,3300.0,NA,-111.86499786376953,34.60810089111328
69,heliport,3733.0,NA,-117.370058745,34.368240591699994
70,small_airport,2594.0,NA,-120.73400115966797,38.79990005493164
71,heliport,300.0,NA,-118.15399932861328,34.03779983520508
72,heliport,10175.0,NA,-106.24600219726562,39.24530029296875
73,heliport,60.0,NA,-72.72750091552734,41.62730026245117
74,small_airport,55.0,NA,-81.14420318603516,28.589399337768555
75,heliport,86.0,NA,-81.3697,28.666639
76,small_airport,19.0,NA,-81.1592025756836,28.78190040588379
77,heliport,319.0,NA,-84.9791030883789,32.47930145263672
78,small_airport,375.0,NA,-82.77110290527344,32.674400329589844
79,small_airport,725.0,NA,-90.74130249023438,41.66109848022461
80,small_airport,5268.0,NA,-112.031998,42.6082
81,small_airport,950.0,NA,-86.50669860839844,39.8849983215332
82,heliport,583.0,NA,-87.65950012207031,40.45859909057617
83,heliport,890.0,NA,-85.69580078125,40.13090133666992
84,small_airport,670.0,NA,-90.31819915771484,39.01620101928711
85,small_airport,59.0,NA,-81.90570068359375,30.68630027770996
86,small_airport,1157.0,NA,-97.5864028930664,37.03609848022461
87,small_airport,1485.0,NA,-97.00330352783203,38.54059982299805
88,heliport,419.0,NA,-88.64689636230469,37.051700592041016
89,small_airport,90.0,NA,-91.77369689941406,32.638999938964844
90,small_airport,555.0,NA,-89.46389770507812,38.12580108642578
91,small_airport,125.0,NA,-91.07740020751953,30.70599937438965
92,heliport,140.0,NA,-71.18009948730469,42.625099182128906
93,seaplane_base,712.1670117322291,NA,-76.456001,38.999199
94,seaplane_base,608.0,NA,-68.50029754638672,46.778900146484375
95,heliport,736.0,NA,-83.67970275878906,43.04949951171875
96,seaplane_base,1358.0,NA,-92.55740356445312,47.899600982666016
97,heliport,615.0,NA,-90.48429870605469,38.641700744628906
98,small_airport,3141.0,NA,-114.87999725341797,48.789100646972656
99,small_airport,65.0,NA,-77.5813980102539,34.47529983520508
100,small_airport,3000.0,NA,-100.65299987792969,40.84360122680664
101,small_airport,835.0,NA,-72.086998,43.6445
102,heliport,10.0,NA,-74.13710021972656,40.741798400878906
103,small_airport,3630.0,NA,-104.540278,33.008611
104,small_airport,4600.0,NA,-119.0270004272461,38.76390075683594
106,heliport,1140.0,NA,-82.80159759521484,40.73059844970703
110,small_airport,960.0,NA,-77.73889923095703,40.930599212646484
111,small_airport,1040.0,NA,-76.02960205078125,41.59590148925781
112,small_airport,779.0,NA,-81.25279998779297,35.032100677490234
113,heliport,630.0,NA,-97.11579895019531,32.69419860839844
114,small_airport,505.0,NA,-96.4280014038086,32.73759841918945
115,small_airport,370.0,NA,-89.73059844970703,34.99589920043945
117,small_airport,610.0,NA,-96.87750244140625,32.38759994506836
118,small_airport,5124.0,NA,-115.63400268554688,38.851600646972656
119,small_airport,6000.0,NA,-109.39600372314453,38.30830001831055
120,small_airport,500.0,NA,-77.9250030518,39.125
121,heliport,154.0,NA,-123.81199645996094,46.66320037841797
122,small_airport,930.0,NA,-90.38919830322266,44.0099983215332
123,heliport,103.0,NA,-122.68499755859375,48.213401794433594
124,heliport,20.0,NA,-122.210908,47.518178
125,small_airport,4250.0,NA,-104.81099700927734,44.347198486328125
126,heliport,715.0,NA,-97.853333,30.007222
127,heliport,500.0,NA,-95.74549865722656,32.020198822021484
128,small_airport,190.0,NA,-150.09800720214844,61.87689971923828
129,small_airport,61.0,NA,-87.76439666748047,30.37150001525879
132,heliport,122.0,NA,-118.12899780273438,33.58250045776367
133,small_airport,165.0,NA,-90.52400207519531,34.129600524902344
134,small_airport,5160.0,NA,-119.058998,34.761101
135,small_airport,7615.0,NA,-106.04699707,37.64329910279999
136,heliport,540.0,NA,-72.44450378417969,41.91960144042969
137,small_airport,121.0,NA,-81.87480163574219,28.52669906616211
139,small_airport,884.0,NA,-83.42900085449219,34.202598571777344
140,small_airport,710.0,NA,-84.92440032958984,34.17530059814453
141,heliport,9.0,NA,-157.9510040283203,21.36199951171875
142,heliport,1160.0,NA,-93.87799835205078,42.05609893798828
143,small_airport,5634.0,NA,-115.30500030517578,44.55550003051758
144,small_airport,925.0,NA,-86.21050262451172,40.06230163574219
145,small_airport,904.0,NA,-85.54080200195312,40.208900451660156
146,heliport,762.0,NA,-87.9572982788086,42.274600982666016
147,small_airport,1170.0,NA,-96.0552978515625,39.222198486328125
148,heliport,781.0,NA,-83.443319,38.181441
149,heliport,760.0,NA,-84.89990234375,38.18339920043945
150,heliport,168.0,NA,-93.66020202636719,32.53129959106445
151,heliport,25.0,NA,-91.91899871826172,30.148300170898438
152,heliport,9.0,NA,-70.927001953125,41.41960144042969
153,small_airport,141.0,NA,-76.709739,38.672544
154,small_airport,700.0,NA,-70.929397,43.5373
155,small_airport,850.0,NA,-85.14849853515625,43.157100677490234
156,small_airport,1070.0,NA,-96.19200134277344,48.68330001831055
157,small_airport,650.0,NA,-91.03350067138672,39.04999923706055
158,small_airport,153.0,NA,-90.8468017578125,34.100101470947266
161,heliport,809.0,NA,-80.597778,35.541111
162,small_airport,1550.0,NA,-96.90450286865234,41.074501037597656
163,seaplane_base,1180.0,NA,-71.21910095214844,44.657100677490234
164,heliport,78.0,NA,-74.46710205078125,40.55730056762695
165,small_airport,4443.0,NA,-118.5979995727539,41.30329895019531
166,heliport,435.0,NA,-75.65550231933594,43.132598876953125
167,small_airport,614.0,NA,-83.08329772949219,41.376399993896484
168,small_airport,950.0,NA,-80.56539916992188,41.801998138427734
170,small_airport,705.0,NA,-121.31600189208984,45.68149948120117
171,heliport,591.0,NA,-77.556602,40.403596
172,heliport,1070.0,NA,-79.7699966430664,40.43830108642578
173,heliport,390.0,NA,-75.4552001953125,40.06959915161133
174,small_airport,15.0,A,-66.36689758300781,18.45330047607422
175,small_airport,1700.0,NA,-77.23030090332031,41.90060043334961
176,small_airport,1349.81139720298,NA,-81.22480010986328,32.75849914550781
177,small_airport,5830.0,NA,-112.98200225830078,45.769100189208984
178,heliport,5.0,NA,-95.8738021850586,28.721399307250977
179,heliport,560.0,NA,-96.86419677734375,32.39540100097656
180,small_airport,840.0,NA,-86.58419799804688,35.780601501464844
182,small_airport,3235.0,NA,-101.92288208,33.3704032898
183,small_airport,4412.0,NA,-113.84300231933594,41.36629867553711
184,small_airport,320.0,NA,-77.8572006225586,38.435699462890625
185,heliport,1850.0,NA,-82.11669921875,36.63880157470703
186,small_airport,690.0,NA,-122.09400177001953,47.15230178833008
187,small_airport,920.0,NA,-92.65579986572266,45.031898498535156
188,small_airport,2150.0,NA,-119.31900024414062,48.74580001831055
189,small_airport,675.0,NA,-95.882864,33.591319
191,heliport,159.0,NA,-149.284527,61.556055
192,seaplane_base,150.0,NA,-151.13278198242188,60.72722244262695
193,heliport,628.0,NA,-86.046774,34.662604
194,heliport,350.0,NA,-92.78849792480469,34.357601165771484
195,small_airport,4275.0,NA,-110.08399963378906,31.433399200439453
196,heliport,634.0,NA,-117.006952,32.779484
197,small_airport,4950.0,NA,-104.744003296,40.2125015259
198,small_airport,70.0,NA,-81.40809631347656,27.353099822998047
200,heliport,20.0,NA,-80.18730163574219,26.683700561523438
201,small_airport,238.0,NA,-81.8576944,32.5623056
203,small_airport,954.0,NA,-92.4613037109375,41.58190155029297
204,small_airport,3180.0,NA,-116.53299713134766,44.7943000793457
